ཞབས་རྗེས་ཐང་,zhabjethang
མཐོང་རོང་,thongrong
གླེམ་,lem
ཕིམ་ཤོང་,phimshong
པ་ཀ་གླིང་,pakaling
བཙན་མཁར་,tsenkhar
སྟོངས་གླིང་སྤམ་,tonglingpam
བཀའ་དམ་,kadam
རྟོག་ཤིང་མང་,togshingmang
སག་སྟེང་,sagteng
མུར་སྦི་,murbi
ཁྲག་ཁྲི་,thagthri
་སྦོ་རང་རྩེ་,borangtse
རྟེན་མང་,tenmang
བསམ་མཁར་,samkhar
ལུང་བསྟང་ཟམ་པ་,lungtenzampa
དོན་མཁར་,domkhar
ཡེ་ནང་བྲང་ས་,yenangdrangsa
སེར་བྲང་,serdrang
ཤོང་ཕུག་,shongphug
རང་འབྱུང་,rangjung
དགའ་གླིང་,galing
ཡོ་སྦི་ནང་,yobinang
སྐྱ་གླིང་,chaling
ཁྲིམས་ཤིང་,thrimshing
ཕེགས་པ་རི་,phegpari
ཡེམ་མཁར་,yemkhar
འཐུང་མཁར་,thungkhar
འཇོམས་གཙང་,jomtsang
ཕྱི་ཡ་,chhiya
གཡེལ་ཆི་ལོ་,yerchhilo
སྨན་མཁར་,maenkhar
སྦས་སྦམ་,baepam
ཏག་ཤི་གོ་,ragshigo
ངམ་སྦི་ནང་,ngambinlang
ཏག་ཏག་པ་,tagtagpa
མཁར་ཐུང་,kharthung
རྟ་འཕེལ་,taphel
འོག་མ་ནང་,wogmanang
སྦེ་རྩ་མང་,betsamang
ཕན་སྟེང་,phanteng
ཚྭ་གླིང་,tshaling
ལར་རྒྱབ་,largyab
སྟག་ཕྱེ་མ་,tagchhema
སྟོང་ལ་,tongla
ཡུབ་,yub
གླེང་མཁར་,lengkhar
ཀརྨ་འཛོམས་,karmazom
ཤ་ཟམ་,shazam
མན་ལ་,manla
གདུང་སྨན་,dungmaen
བ་འུང་,bawung
གཙང་རོང་,tsangrong
འུང་མགྷར་,wungkhar
རོ་མང་,romang
གསེབ་,seb
ཐང་དུང་,thangdung
མལ་གདུང་,maeldung
གསེར་མཚོ་,sertsho
ལྟོག་ཤིང་,togshing
མ་ནམ་,manam
གཙང་གདུང་,tsangdung
ལྷའུ་ཞིང་,lhauzhing
ཤོ་ག་ནང་,shoganang
ཀུན་བཟང་གླིང་,kuenzangling
སྒོམ་བསྐོར་,gomkor
དགའ་ཤིང་,gashing
མེ་ལོང་མཁར་,melongkhar
ཡར་འཕེལ་,yarphel
གླི་ཅན་,lichen
སྦིམ་མཁར་,bimkhar
སྒང་མཁར་,gangkhar
རབ་སྟི་,rabti
བཀྲིས་སྡིང་ཁ་,tashidingkha
གཡུས་གསར་,uesar
ཀུན་དགའ་རབ་བརྟེན་,kuengarabten
བསམ་གླིང་ཁསྟོད་,samlingkhatoed
བསམ་གླིང་ཁ་སྨད་,samlingkhamaed
མནའ་སྦིས་,nabi
སྐོར་ཕུག་སྟོད་,korphugtoed
སྐོར་ཕུག་སྨད་,korphugmaed
ཉིམ་ཞོང་སྟོད་,nyimzhongtoed
ཉིམ་ཞོང་སྨད་,nyimzhongmaed
གླང་མཐིལ་,langthil
དངས་དུང་,dangdung
བ་གླིང་,baling
བྱང་སྦིས་,jangbi
གཡུ་དྲུང་ཆོས་གླིང་,yuendrungchhoeling
དཀར་ཞོང་,karzhong
སྲིན་ཕུག་,sinphug
སྤྱེལ་,chela
གསེངམ་སྦྱིས་,saengbji
ཨུ་གླིང་,ueling
སྤྱན་ལྡན་སྦྱིས་,chendenbji
ཉ་ལ་བྲང་ལ་,nyaladrangla
སྟང་ས་སྦྱིས་,tangsbji
ཚང་ཁ་,tshangkha
ཀེ་ལ་,kela
བར་གཤོང་སྨད་,barshongmaed
བར་གཤོང་སྟོད་,barshongtoed
བཅུ་གཉིས་ཁང་,chunyikhang
སྟོད་སངས་,toedsang
ནོར་བྱང་ས་,norjangsa
ལྷ་མོའི་ལུངམ་,lhamoilungm
ཁྱི་རི་ཐང་,khirithang
ཕུན་སུམ་སྒང་,phuensumgang
འཛམ་གླིང་ཟོར་,dzamlingzor
དཔལ་རི་ཐང་,pelrithang
བཀྲིས་གཡང་ལྗོངས་,tashiyangjong
ཉི་ཟེར་སྒང་,nyizergang
ས་གཙང་མ་,satsangma
མན་ཆ་ན་,maenchhana
མནྜལ་སྒང་,mendrelgang
འཛམ་གླིན་ཟོར་,dzamlingzor
བསམ་ཤིང་དགའ་ལྡན་,samshinggaden
བཀྲིས་སྤང་,tashipang
རི་གསེར་བུ་,riserbu
སྤ་ཚ་གླིང་སྟོད་,pantshalingtoed
མཐའ་སྐོར་གླིང་,thakorling
ཆུ་འཛོམས་སའ་,chhuzomsa
ནོར་བུ་ཐང་,norbuthang
སྟོང་ཤིང་སྒང་,tongshinggang
རང་ཐང་གླིང་,rangthangling
དར་འཕྱར་སྒང་,darchhargang
ཉི་མ་ཟོར་,nyimazor
སུན་ཀོཤ་,sunkosh
འཛོམས་གླིང་,dzomling
བཀྲ་ཤིས་གླིང་སྨད་,tashilingmaed
བཀྲིས་ཤིས་གླིང་སྟོད་,tashilingtoed
གསེར་གྱི་ཐང་སྟོད་,sergithangtoed
གསེར་གྷྱི་ཐང་སྨད་,sergithangmaed
སེམས་ལྡན་ལྗོངས་,semdenjong
མཚོ་གླིང་ཁར་སྟོད་,tsholingkhartoed
ཁྲུབ་ཆུ་སྒང་,drubchhugang
ཀ་པ་ཞིང་,kapazhing
སྒོམ་གསུམ་,gomsum
ཙི་རང་སྟོད་,tsirangtoed
ཀ་བལ་ཞིང་,kabelzhing
སྟོང་ཤིང་ནང་,tongshingnang
སོན་བཏབ་ས་,soentabsa
ཝང་ཕུ་,wangphu
ལོམ་ཚོ་ཁ་,lomtshokha
རྫ་བ་,dzawa
ཕག་ཏ་ཁ་,pagtakha
རུ་ཁ་,rukha
ལམ་ག་,lamga
མཐིང་མ་ཁ་,thingmakha
བཀྲ་ཤིས་ལྟོ་ཁ་,tashitokha
སྟོང་ཅན་ནང་,tongchennang
ཨུ་མ་ཁ་སྟོད་,umakhatoed
འོ་བརྒྱལ་,wogyal
རྒྱས་པ་ཁ་,gyapakha
སྟག་ཤ་,taagsha
སྟག་གསར་,taagsar
སྟོམ་ལ་,tomla
ཟི་མི་,zimi
གཨུས་ས་སྒང་,uesagang
ནོར་བུ་ལྡིང་,norbuding
ཀུམ་བུ་,kumbu
སྒང་སྟེང་,gangteng
གཡས་བསྐོར་འོག་,yaekorwog
གཡུལ་ག་,uega
སྒོར་དགོན་,gorgoen
མ་འཚིག་སྤོག་ཏོ་,matshigpogto
ཁ་སྨད་ན་,khamaedna
ཁ་སྟོད་ཁ་,khatoedkha
ལྕང་ཁ་,changkha
མ་འཚིག་ཁ་,matshigkha
བཏབ་ཆས་ཁ་,taabchhaekha
ཧས་ཆོ་ཁ་,haetshokha
ཧས་སྦིས་ས་,haebisa
སྦས་འབྲོག་,baedrog
ལེང་སྦིས་,lengbi
ཀོ་མ་ཕྲང་,komathrang
ཀ་གཞི་,kazhi
ཅེ་དགྱིདཔ་,chegidp
ནག་སྦིས་ས་,nagbisa
ཐབ་སྦྱིས་,thabji
བླང་མི་ཟི་,langmizi
གཡུས་ས་འོགམ་,uesawogm
ར་ཛ་འོག་,rajawog
སྤང་ཁ་,pangkha
བསམ་གཏང་སྒང་,samtengang
ཆས་བྷ་ཁ་,chhaebhakha
འམ་སྤོད་ཁ་,wampoekhar
དོམ་ཁ་,domkha
ཁྱུང་དགོན་,chhunggoen
དགོན་ཁར་,goenkhar
ཕངས་ཡུལ་,phangyuel
སྒང་འཕེལ་,gangphel
སྒོར་ཕུག་,gorphug
སྤང་གསར་,pangsar
ནེམ་འཕེལ་,nemphel
རྟ་ཕུག་,taphug
ཟམ་ལྡིང་,zamding
བང་སྟོད་ཁ་,bangtoedkha
རྒྱ་ལ་,gyala
ཨུ་ལ་,ula
མཁོ་ཐང་ཁ་,khothangkha
ཟེ་རི་,zeri
གློང་སྟོད་,longtoed
བུ་མོ་མི་ལོག་,bummilog
ན་ཁ་,nakha
རུ་ཀུབ་སྦྱིས་,rukubji
དམར་ཏ་ལུང་ཅུ་,martalungchu
ཐང་མགུ་,thanggu
ཝང་ཇོ་ཁ་,wangjokha
རིན་ཆེན་སྒང་,rinchhengang
བར་དོ་,bardo
ཁོམ་ཤར་,khomshar
ཕུལ་སྦིས་,phulabi
གླང་དོར་སྦིས་,langdorbi
དི་ག་ལ་,digala
ད་ལི་,dali
འབྱོག་དཀར་,bjokar
ཀ་མ་ཏི་,kamati
ན་མིར་སྒང་,namirgang
ཛར་བཀབ་ལ་,dzarkabla
མེ་དབང་སྒང་,mewangang
བུ་ད་ཤི་,budhashi
ལམ་ཐང་,lamthang
བསམས་ཆོས་གླིང་,samchhoeling
ལི་ཅི་སྦིས་,lichibi
ཏ་ལི་,tali
བུ་ལི་,buli
མགོ་ལེངས་,goleng
ཉ་མཁའ་,nyakha
མདུན་མང་,duenmang
བཀག་སྟོང་,kagtong
ངང་ལ་ཀྲོང་,nganglatrong
རི་བ་ཏི་,ribati
མ་རང་འདུད་,marangdued
སྤྲ་སྡི་ལྗོངས་,dadijong
པཱ་ན་སྦིས་,panabi
བཀྲིས་སྦིས་,tashibi
ལྕགས་ངར་ཟམ་,chagngarzam
ཤིང་མགྷར་,singkhar
ཝམ་གླིང་,wamling
ཁྲི་ས་,thrisa
རཱ་སྡི་,radi
མཐའ་ལྗོངས་,thajong
ཀྲོང་,trong
སྟག་མ་,tagma
ཟུར་འཕེལ་,zurphel
བསྲུབ་བྲང་,subdrang
གོང་ཕུ་,gongphu
