ཞབས་རྗེས་ཐང་,zhabs rjes thang
ཆོས་འཁོར་,chos 'khor
ཞོ་ཤུལ་,zho shul
ཆུ་ཟར་ཁ་,chu zar kha
ཁང་སྐྱིད་ཡུལ་,khang skyid yul
སྒང་ཡུལ་,sgang yul
ཤ་ཡུལ་,sha yul
ལྕགས་ཕུ་,lcags phu
ཚ་ལུང་ན་,tsha lung na
སྦྱིས་མི་ནང་,sbyis mi nang
རྣམ་སྲས་གླིང་,rnam sras gling
ཁ་ས་ཁྲབ་ཅུ་,kha sa khrab cu
སི་སི་ནང་,si si nang
སྨོན་རྕི་ཕུག་,smon r+ci phug
ནང་སྒོ་,nang sgo
ཞོམ་ཐང་,zhom thang
པ་རྒོད་,pa rgod
སྟག་སྲིད་ཐང་,stag srid thang
བྱང་སྒོ་ཐང་,byang sgo thang
གདམ་སྒོ་སྐྱོང་,gdam sgo skyong
རྡོ་སྟབས་པའི་ཐང་,rdo stabs pa'i thang
རྟོ་བཟོ་སྟོན་,rto bzo ston
འཇོམ་ཕུ་,'jom phu
བཀྲ་ཤང་,bkra shang
སྣངས་མཁར་,snangs mkhar
སྐུ་མུང་,sku mung
མེན་ཆ་རི་,men cha ri
མུག་སྟངས་མཁར་,mug stangs mkhar
ལེམ་ཕང་,lem phang
ཙིག་སྟུང་,tsig stung
ཚེ་མཁར་,tshe mkhar
ཀ་ཀ་ནི་འོག་,ka ka ni 'og
རི་གཙང་གདུང་,ri gtsang gdung
སྨན་འཐོང་,sman 'thong
ཁྲ་སྒོམ་,khra sgom
ཡོན་ཕུག་ལ་,yon phug la
ཤིང་ཅན་,shing can
ལམ་ཡོངས་,lam yongs
ཟོར་གདུང་,zor gdung
ཐྲལ་ཕུག་,thral phug
མེར་བདག་,mer bdag
མེ་རིང་ཟོར་,me ring zor
རྟོགས་ཀ་ཕུ་,rtogs ka phu
འཁོལ་གདུང་,'khol gdung
བར་ཤོང་,bar shong
ལེ་མི་,le mi
ཀླུ་རྨང་,klu rmang
སྐུར་ཆི་ལོ་,skur chi lo
གཙང་པོ་,gtsang po
ཝ་མཁར་,wa mkhar
མཚོ་དགོན་པ་,mtsho dgon pa
མེ་རག་སྟོད་,me rag stod
མེ་རག་སྨད་,me rag smad
གྱེན་འགོ་,gyen 'go
ཁ་ཤཱ་སྟེངས་,kha shA stengs
ཁི་ལི་ཕུ་,khi li phu
ཕོངས་མེད་,phongs med
མཐོང་རོང་,mthong rong
གླེམ་,glem
ཕིམ་ཤོང་,phim shong
པ་ཀ་གླིང་,pa ka gling
བཙན་མཁར་,btsan mkhar
སྟོངས་གླིང་སྤམ་,stongs gling spam
བཀའ་དམ་,bka' dam
རྟོག་ཤིང་མང་,rtog shing mang
སག་སྟེང་,sag steng
མུར་སྦི་,mur sbi
ཁྲག་ཁྲི་,khrag khri
་སྦོ་རང་རྩེ་, sbo rang rtse
རྟེན་མང་,rten mang
བསམ་མཁར་,bsam mkhar
ལུང་བསྟང་ཟམ་པ་,lung bstang zam pa
དོན་མཁར་,don mkhar
ཡེ་ནང་བྲང་ས་,ye nang brang sa
སེར་བྲང་,ser brang
ཤོང་ཕུག་,shong phug
རང་འབྱུང་,rang 'byung
དགའ་གླིང་,dga' gling
ཡོ་སྦི་ནང་,yo sbi nang
སྐྱ་གླིང་,skya gling
ཁྲིམས་ཤིང་,khrims shing
ཕེགས་པ་རི་,phegs pa ri
ཡེམ་མཁར་,yem mkhar
འཐུང་མཁར་,'thung mkhar
འཇོམས་གཙང་,'joms gtsang
ཕྱི་ཡ་,phyi ya
གཡེལ་ཆི་ལོ་,g.yel chi lo
སྨན་མཁར་,sman mkhar
སྦས་སྦམ་,sbas sbam
ཏག་ཤི་གོ་,tag shi go
ངམ་སྦི་ནང་,ngam sbi nang
ཏག་ཏག་པ་,tag tag pa
མཁར་ཐུང་,mkhar thung
རྟ་འཕེལ་,rta 'phel
འོག་མ་ནང་,'og ma nang
སྦེ་རྩ་མང་,sbe rtsa mang
ཕན་སྟེང་,phan steng
ཚྭ་གླིང་,tshwa gling
ལར་རྒྱབ་,lar rgyab
སྟག་ཕྱེ་མ་,stag phye ma
སྟོང་ལ་,stong la
ཡུབ་,yub
གླེང་མཁར་,gleng mkhar
ཀརྨ་འཛོམས་,karma 'dzoms
ཤ་ཟམ་,sha zam
མན་ལ་,man la
གདུང་སྨན་,gdung sman
བ་འུང་,ba 'ung
གཙང་རོང་,gtsang rong
འུང་མགྷར་,'ung mag+har
རོ་མང་,ro mang
གསེབ་,gseb
ཐང་དུང་,thang dung
མལ་གདུང་,mal gdung
གསེར་མཚོ་,gser mtsho
ལྟོག་ཤིང་,ltog shing
མ་ནམ་,ma nam
གཙང་གདུང་,gtsang gdung
ལྷའུ་ཞིང་,lha'u zhing
ཤོ་ག་ནང་,sho ga nang
ཀུན་བཟང་གླིང་,kun bzang gling
སྒོམ་བསྐོར་,sgom bskor
དགའ་ཤིང་,dga' shing
མེ་ལོང་མཁར་,me long mkhar
ཡར་འཕེལ་,yar 'phel
གླི་ཅན་,gli can
སྦིམ་མཁར་,sbim mkhar
སྒང་མཁར་,sgang mkhar
རབ་སྟི་,rab sti
བཀྲིས་སྡིང་ཁ་,bkris sding kha
གཡུས་གསར་,g.yus gsar
ཀུན་དགའ་རབ་བརྟེན་,kun dga' rab brten
བསམ་གླིང་ཁསྟོད་,bsam gling khastod
བསམ་གླིང་ཁ་སྨད་,bsam gling kha smad
མནའ་སྦིས་,mna' sbis
སྐོར་ཕུག་སྟོད་,skor phug stod
སྐོར་ཕུག་སྨད་,skor phug smad
ཉིམ་ཞོང་སྟོད་,nyim zhong stod
ཉིམ་ཞོང་སྨད་,nyim zhong smad
གླང་མཐིལ་,glang mthil
དངས་དུང་,dngas dung
བ་གླིང་,ba gling
བྱང་སྦིས་,byang sbis
གཡུ་དྲུང་ཆོས་གླིང་,g.yu drung chos gling
དཀར་ཞོང་,dkar zhong
སྲིན་ཕུག་,srin phug
སྤྱེལ་,spyel
གསེངམ་སྦྱིས་,gsengam sbyis
ཨུ་གླིང་,u gling
སྤྱན་ལྡན་སྦྱིས་,spyan ldan sbyis
ཉ་ལ་བྲང་ལ་,nya la brang la
སྟང་ས་སྦྱིས་,stang sa sbyis
ཚང་ཁ་,tshang kha
ཀེ་ལ་,ke la
བར་གཤོང་སྨད་,bar gshong smad
བར་གཤོང་སྟོད་,bar gshong stod
བཅུ་གཉིས་ཁང་,bcu gnyis khang
སྟོད་སངས་,stod sangs
ནོར་བྱང་ས་,nor byang sa
ལྷ་མོའི་ལུངམ་,lha mo'i lungam
ཁྱི་རི་ཐང་,khyi ri thang
ཕུན་སུམ་སྒང་,phun sum sgang
འཛམ་གླིང་ཟོར་,'dzam gling zor
དཔལ་རི་ཐང་,dpal ri thang
བཀྲིས་གཡང་ལྗོངས་,bkris g.yang ljongs
ཉི་ཟེར་སྒང་,nyi zer sgang
ས་གཙང་མ་,sa gtsang ma
མན་ཆ་ན་,man cha na
མནྜལ་སྒང་,man+Dal sgang
འཛམ་གླིན་ཟོར་,'dzam glin zor
བསམ་ཤིང་དགའ་ལྡན་,bsam shing dga' ldan
བཀྲིས་སྤང་,bkris spang
རི་གསེར་བུ་,ri gser bu
སྤ་ཚ་གླིང་སྟོད་,spa tsha gling stod
མཐའ་སྐོར་གླིང་,mtha' skor gling
ཆུ་འཛོམས་སའ་,chu 'dzoms sa'
ནོར་བུ་ཐང་,nor bu thang
སྟོང་ཤིང་སྒང་,stong shing sgang
རང་ཐང་གླིང་,rang thang gling
དར་འཕྱར་སྒང་,dar 'phyar sgang
ཉི་མ་ཟོར་,nyi ma zor
སུན་ཀོཤ་,sun kosha
འཛོམས་གླིང་,'dzoms gling
བཀྲ་ཤིས་གླིང་སྨད་,bkra shis gling smad
བཀྲིས་ཤིས་གླིང་སྟོད་,bkris shis gling stod
གསེར་གྱི་ཐང་སྟོད་,gser gyi thang stod
གསེར་གྷྱི་ཐང་སྨད་,gser g+h+yi thang smad
སེམས་ལྡན་ལྗོངས་,sems ldan ljongs
མཚོ་གླིང་ཁར་སྟོད་,mtsho gling khar stod
ཁྲུབ་ཆུ་སྒང་,khrub chu sgang
ཀ་པ་ཞིང་,ka pa zhing
སྒོམ་གསུམ་,sgom gsum
ཙི་རང་སྟོད་,tsi rang stod
ཀ་བལ་ཞིང་,ka bal zhing
སྟོང་ཤིང་ནང་,stong shing nang
སོན་བཏབ་ས་,son btab sa
ཝང་ཕུ་,wang phu
ལོམ་ཚོ་ཁ་,lom tsho kha
རྫ་བ་,rdza ba
ཕག་ཏ་ཁ་,phag ta kha
རུ་ཁ་,ru kha
ལམ་ག་,lam ga
མཐིང་མ་ཁ་,mthing ma kha
བཀྲ་ཤིས་ལྟོ་ཁ་,bkra shis lto kha
སྟོང་ཅན་ནང་,stong can nang
ཨུ་མ་ཁ་སྟོད་,u ma kha stod
འོ་བརྒྱལ་,'o brgyal
རྒྱས་པ་ཁ་,rgyas pa kha
སྟག་ཤ་,stag sha
སྟག་གསར་,stag gsar
སྟོམ་ལ་,stom la
ཟི་མི་,zi mi
གཨུས་ས་སྒང་,ga.us sa sgang
ནོར་བུ་ལྡིང་,nor bu lding
ཀུམ་བུ་,kum bu
སྒང་སྟེང་,sgang steng
གཡས་བསྐོར་འོག་,g.yas bskor 'og
གཡུལ་ག་,g.yul ga
སྒོར་དགོན་,sgor dgon
མ་འཚིག་སྤོག་ཏོ་,ma 'tshig spog to
ཁ་སྨད་ན་,kha smad na
ཁ་སྟོད་ཁ་,kha stod kha
ལྕང་ཁ་,lcang kha
མ་འཚིག་ཁ་,ma 'tshig kha
བཏབ་ཆས་ཁ་,btab chas kha
ཧས་ཆོ་ཁ་,has cho kha
ཧས་སྦིས་ས་,has sbis sa
སྦས་འབྲོག་,sbas 'brog
ལེང་སྦིས་,leng sbis
ཀོ་མ་ཕྲང་,ko ma phrang
ཀ་གཞི་,ka gzhi
ཅེ་དགྱིདཔ་,ce dgyidapa
ནག་སྦིས་ས་,nag sbis sa
ཐབ་སྦྱིས་,thab sbyis
བླང་མི་ཟི་,blang mi zi
གཡུས་ས་འོགམ་,g.yus sa 'ogam
ར་ཛ་འོག་,ra dza 'og
སྤང་ཁ་,spang kha
བསམ་གཏང་སྒང་,bsam gtang sgang
ཆས་བྷ་ཁ་,chas b+ha kha
འམ་སྤོད་ཁ་,'am spod kha
དོམ་ཁ་,dom kha
ཁྱུང་དགོན་,khyung dgon
དགོན་ཁར་,dgon khar
ཕངས་ཡུལ་,phangs yul
སྒང་འཕེལ་,sgang 'phel
སྒོར་ཕུག་,sgor phug
སྤང་གསར་,spang gsar
ནེམ་འཕེལ་,nem 'phel
རྟ་ཕུག་,rta phug
ཟམ་ལྡིང་,zam lding
བང་སྟོད་ཁ་,bang stod kha
རྒྱ་ལ་,rgya la
ཨུ་ལ་,u la
མཁོ་ཐང་ཁ་,mkho thang kha
ཟེ་རི་,ze ri
གློང་སྟོད་,glong stod
བུ་མོ་མི་ལོག་,bu mo mi log
ན་ཁ་,na kha
རུ་ཀུབ་སྦྱིས་,ru kub sbyis
དམར་ཏ་ལུང་ཅུ་,dmar ta lung cu
ཐང་མགུ་,thang mgu
ཝང་ཇོ་ཁ་,wang jo kha
རིན་ཆེན་སྒང་,rin chen sgang
བར་དོ་,bar do
ཁོམ་ཤར་,khom shar
ཕུལ་སྦིས་,phul sbis
གླང་དོར་སྦིས་,glang dor sbis
དི་ག་ལ་,di ga la
ད་ལི་,da li
འབྱོག་དཀར་,'byog dkar
ཀ་མ་ཏི་,ka ma ti
ན་མིར་སྒང་,na mir sgang
ཛར་བཀབ་ལ་,dzar bkab la
མེ་དབང་སྒང་,me dbang sgang
བུ་ད་ཤི་,bu da shi
ལམ་ཐང་,lam thang
བསམས་ཆོས་གླིང་,bsams chos gling
ལི་ཅི་སྦིས་,li ci sbis
ཏ་ལི་,ta li
བུ་ལི་,bu li
མགོ་ལེངས་,mgo lengs
ཉ་མཁའ་,nya mkha'
མདུན་མང་,mdun mang
བཀག་སྟོང་,bkag stong
ངང་ལ་ཀྲོང་,ngang la krong
རི་བ་ཏི་,ri ba ti
མ་རང་འདུད་,ma rang 'dud
སྤྲ་སྡི་ལྗོངས་,spra sdi ljongs
པཱ་ན་སྦིས་,pA na sbis
བཀྲིས་སྦིས་,bkris sbis
ལྕགས་ངར་ཟམ་,lcags ngar zam
ཤིང་མགྷར་,shing mag+har
ཝམ་གླིང་,wam gling
ཁྲི་ས་,khri sa
རཱ་སྡི་,rA sdi
མཐའ་ལྗོངས་,mtha' ljongs
ཀྲོང་,krong
སྟག་མ་,stag ma
ཟུར་འཕེལ་,zur 'phel
བསྲུབ་བྲང་,bsrub brang
གོང་ཕུ་,gong phu
